Title,Content,Date
"Insider Moves: Gabungan AQRS Bhd, PUC Bhd, Berjaya Corp ...","Notable filings. DURING the week under review, Datuk Kamisah Johan, founder 
 of Rembawang Holdings Sdn Bhd, emerged as a substantial shareholder of 
 Gabungan AQRS ...",27 Apr 2021
Construction players seek to score with MRT3 under new ...,"Others such as MMC Corp Bhd, Ahmad Zaki Resources Bhd, Gabungan AQRS Bhd, 
 Sunway Construction Group Bhd as well as industrialised building system 
 (IBS) ...",26 Apr 2021
MRT3: New financing model and a 'game changer',"MMC Corp Bhd, Ahmad Zaki Resources Bhd, Gabungan AQRS Bhd, Sunway 
 Construction Group Bhd as well as industrialised building system expert 
 Kimlun Corp Bhd ...",17 Apr 2021
"CORP BRIEF: Scientex, Gabungan AQRS, Barakah Offshore ...","GABUNGAN AQRS Bhd (GBG) announced that Datuk Kamisah Johan has joined the 
 group as a substantial shareholder yesterday. In a filing to Bursa 
 Malaysia ...",6 Apr 2021
"Ekovest, BCorp, AMMB, FGV, Top Glove, Greatech, Scientex ...","Gabungan AQRS Bhd has seen the emergence of a new substantial shareholder 
 in the form of Datuk Kamisah Johan. It was announced that Kamisah had 
 acquired ...",6 Apr 2021
"MIDF maintains positive stance, says prime time to turn focus ...","14), Gabungan AQRS Bhd (Buy, TP: 85 sen), Cahya Mata Sarawak Bhd (CMSB) 
 (Buy, TP: RM2.80), and Malayan Cement Bhd (Buy, TP: RM3). It said this 
 much-anticipated ...",6 Apr 2021
Kamisah Johan emerges as substantial shareholder of ...,"KUALA LUMPUR (April 5): Businesswoman Datuk Kamisah Johan has become a 
 substantial shareholder of Gabungan AQRS Bhd (GBG) after acquiring the 
 entire 49.34 ...",5 Apr 2021
Gamuda early beneficiary of MRT3 revival,"They are IJM Corporation Bhd, Sunway Construction Group Bhd, WCT Holdings 
 Bhd, Gabungan AQRS Bhd, Malaysian Resources Corporation Bhd and Malayan 
 Cement Bhd ...",5 Apr 2021
The Gabungan AQRS Berhad (KLSE:GBGAQRS) Analysts ...,"The Gabungan AQRS Berhad (KLSE:GBGAQRS) Analysts Have Been Trimming Their 
 Sales Forecasts. By: Simply Wall St. Published: March 02, 2021.",2 Mar 2021
"Gabungan AQRS Berhad Reported A Surprise Loss, And ...","Taking into account the latest results, the consensus forecast from 
 Gabungan AQRS Berhad's six analysts is for revenues of RM503.7m in 2021, 
 which would reflect ...",27 Feb 2021
Gabungan AQRS Berhad's (KLSE:GBGAQRS) Stock Price ...,"Investing in stocks inevitably means buying into some companies that 
 perform poorly. But the long term shareholders of Gabungan AQRS Berhad 
 (KLSE:GBGAQRS) ...",12 Feb 2021
Better times ahead for Gabungan AQRS,"Gabungan AQRS Bhd is expected to see its earnings recover in the first half 
 of this year as its orderbook remains healthy and its progress billings 
 pick up.",10 Feb 2021
Gabungan AQRS wins two jobs worth RM83.6mil,"7mil job from Teringin Sentral Sdn Bhd to build a 97-unit SOHO (small 
 office home office) block in Jalan Scott, Brickfields. PETALING JAYA: 
 Gabungan AQRS Bhd ...",27 Jan 2021
Gabungan AQRS wins RM83.57mil job,"KUALA LUMPUR (Bernama) -- Gabungan AQRS Bhd 's (GBGAQRS) wholly-owned 
 subsidiary, Gabungan Strategik Sdn Bhd (GSSB) has accepted a letter of 
 award (LOA) to ...",26 Jan 2021
Stronger earnings for Dayang Enterprise this year,"Solid order book to spur Gabungan AQRS earnings ... On Wednesday, Dayang 
 announced that it had received a contract extension from Sarawak Shell Bhd, 
 which is also ...",15 Jan 2021
Prasarana bayar separuh dari RM700j bayaran tertunggak ...,"Salah satu subkontraktor MRCB-GK, Kumpulan Gabungan AQRS Bhd memberitahu 
 Malaysiakini bahawa syarikat mereka setakat ini telah menerima 
 pembayaran ...",10 Jan 2021
