Title,Content,Date
Global & China Lithium-ion Battery Anode Material Industry ...,"Global & China Lithium-ion Battery Anode Material Industry 2020-2026 - 
 ResearchAndMarkets.com. September 01, 2020 11:30 AM Eastern Daylight Time. 
 DUBLIN--( ...",1 Sep 2020
"Xiaomi's Mi 10 Ultra smartphone said to sport ""the first mass-produced 
 graphene Li-ion battery""","Xiaomi claims the 4,500mAh “graphene-based lithium-ion” battery packs 1,000 
 times greater conductivity than traditional “carbon black” batteries.",1 Sep 2020
"Škoda do detailu odhalila přelomový nový model, i cenou a ...","Zmíněna částka je pochopitelně spojena s menším paketem lithium-iontových 
 baterií, které jsou u elektromobilů stěžejní. Vůbec bychom se tedy 
 nedivili, ...",1 Sep 2020
"Cracking the Code of a Scientific Anomaly: Decades-Old Mystery of 
 Lithium-Ion Battery Storage Solved","For years, researchers have aimed to learn more about a group of metal 
 oxides that show promise as key materials for the next generation of 
 lithium-ion ...",2 Sep 2020
"Cheaper, safer and longer-lasting than lithium-ion': zinc ...","Cheaper, safer and longer-lasting than lithium-ion': zinc battery wins 
 giga-scale orders. Eos Energy Storage's novel zinc aqueous technology 
 enters mainstream ...",2 Sep 2020
101 great deals to look out for on Black Friday...,"48. Pinnacle Lithium 2 Hybrid Bike. 102. Guide price: £390 (August 5). 
 Pinnacle Lithium ...",2 Sep 2020
FPX Nickel trials tailings CO2 capture,"23 AUG 2021. AMG building industrial lithium battery · Power / Remote 
 power. 23 AUG 2021. Future of Mining.",2 Sep 2020
EU adds lithium to critical raw materials list - MINING.COM,"The European Union has added lithium, used in batteries that power electric 
 vehicles (EVs), to a list of critical materials that it plans to support 
 locally ...",3 Sep 2020
Miner Orocobre signs lithium supply MoU with Toyota ...,"Orocobre has signed a Memorandum of Understanding (MoU) with Prime Planet 
 Energy Solutions (PPES) for the long-term supply of battery-grade lithium 
 carbonate ...",3 Sep 2020
China's GEM secures 8-year supply deal for battery grade ...,"ENERGY TRANSITION RAW MATERIALS 20/08: Chinese lithium spot prices continue 
 rally, cobalt prices dip. Aug 20, 2021 @ 17:10.",3 Sep 2020
EC adds lithium to critical raw materials list amid transition to ...,"Lithium is a key element in the manufacturing of batteries that power 
 electric vehicles (EV) and energy storage systems (ESS).",4 Sep 2020
