Title,Content,Date
Astrohaus Freewrite Traveler Review,"Astrohaus estimates that the Traveler's internal lithium-polymer battery 
 will last for approximately four weeks between charges. This assumes that 
 you use ...",10 Nov 2020
Piedmont Lithium Announces Spodumene Concentrator Pilot ...,"NEW YORK--(BUSINESS WIRE)--Piedmont Lithium Limited (“Piedmont” or 
 “Company”) is pleased to announce that it will partner with SGS Canada, 
 Inc. (“SGS”) in ...",11 Nov 2020
Mercedes-Benz will in future only source battery cells with ...,"Sourcing of cobalt and lithium exclusively from certified mines makes 
 Mercedes-Benz AG a pioneer for the first cross-industry mining standard 
 ""Standard for ...",12 Nov 2020
The world needs lithium. Can Bolivia’s new president deliver it?,"Whether Luis Arce can succeed in developing Bolivia's lithium riches — and 
 do so in a way that benefits Bolivian workers and frontline communities — 
 remains ...",12 Nov 2020
A Glance into Closed Loop Lithium-Ion Battery Recycling,"“Recycling lithium ion battery is hampered by the cost of the logistics 
 involved in shipping and disassembling the batteries for recycle,” 
 Greenberger told the ...",13 Nov 2020
Ganfeng Lithium increases stake in Bacanora's Sonora project to 50%,"JOHANNESBURG, Nov 13 (Reuters) - China's Ganfeng Lithium Co Ltd on Friday 
 exercised its option to increase its stake in Bacanora Lithium's Sonora 
 project in ...",13 Nov 2020
E-Lkw Förderung: Bund schultert 80% Mehrkosten im ...,"Selbst die Lithium-Batterie hat noch Entwicklungspotenial – sogar um das 
 10-Fache – nur braucht das Lebensdauerproblem noch Zeit bis eine Lösung 
 gefunden wird.",14 Nov 2020
Why we're bullish on lithium - James Stewart | Livewire,"The main winners (in terms of commodity volume growth) from an increase in 
 global rechargeable battery demand are likely to be Lithium, Nickel and 
 Cobalt, and ...",15 Nov 2020
Lithium Americas Reports Third Quarter 2020 Results,"16, 2020 (GLOBE NEWSWIRE) -- Lithium Americas Corp. (TSX: LAC) (NYSE: LAC) 
 (""Lithium Americas"" or the ""Company"") has reported financial and operating 
 results ...",16 Nov 2020
E3 Metals Announces Positive Preliminary Economic ...,"The PEA outlines the estimated production of 20,000 tonnes per year of 
 battery-quality lithium hydroxide monohydrate (""lithium hydroxide"" or 
 ""LHM"") over a 20- ...",16 Nov 2020
"Exclusive: Lithium giants Albemarle and SQM battle over access to Atacama 
 water study","SANTIAGO (Reuters) - U.S.-based Albemarle Corp, the world's largest lithium 
 producer, has accused its top rival, Chilean miner SQM, and local 
 regulators of ...",17 Nov 2020
Second-Life Automotive Lithium-Ion Battery Market to Grow ...,"NEW YORK, Nov. 17, 2020 /PRNewswire/ -- Owing to the scarceness of their 
 components, the recycling of automotive lithium-ion batteries is being 
 stressed ...",17 Nov 2020
Piedmont Lithium Expands Drill Program,"Piedmont Lithium Project Property Map Showing Mineral Resources, 
 Exploration Targets and Proposed Drillholes (Graphic: Business Wire).",17 Nov 2020
Mexico moves ahead with lithium nationalization plans ...,"Bolivia's Uyuni salt flat holds one of the world's largest deposits of 
 lithium, a key raw material for battery cell production. (Reference image 
 courtesy of ...",17 Nov 2020
Alpha Lithium Hires Chemical Process Engineering ...,"Alpha Lithium Hires Chemical Process Engineering Specialists to Advance 
 Development at Tolillar Lithium Project. November 18, 2020 09:00 ET | 
 Source: Alpha ...",18 Nov 2020
"UPDATE 1-Chile's SQM bets on higher sales, demand for lithium, announces 
 new expansion","SANTIAGO, Nov 19 (Reuters) - Chilean miner SQM announced on Thursday plans 
 for a fresh expansion of its Chile lithium operations by 2023, predicting 
 its sales ...",19 Nov 2020
California's Salton Sea Could Contain Lithium for Electric Car ...,"California Wants Its Imperial Valley to Be 'Lithium Valley'. The region's 
 Salton Sea contains a massive trove of the metal needed for electric-car 
 batteries.",19 Nov 2020
Fortum claims breakthrough in recycling lithium-ion batteries,"Finnish energy group Fortum claims to have found a new and efficient way to 
 recycle lithium out of rechargeable batteries. This could help satisfy 
 the ...",23 Nov 2020
2021 BMW iX3 First Drive Review: The New Normal?,"Battery 74-Kilowatt-Hour Lithium-Ion. Drive Type Rear-Wheel Drive. 
 Transmission 1-Speed Automatic. Output 282 Horsepower / 295 Pound-Feet.",24 Nov 2020
"Roskill sees recovery in lithium industry, buoyed by demand ...","In 2019, rechargeable batteries accounted for 54% of total lithium demand, 
 almost entirely from Li-ion battery technologies. Though the rapid rise of 
 hybrid and ...",25 Nov 2020
