Title,Content,Date
"Savannah Resources Still in Galp Talks Despite Expiry of Lithium Project 
Agreement","Savannah Resources PLC said Tuesday that a preliminary agreement it signed 
with Galp Energia SGPS S/A to invest in Savannah's flagship Mina do Barroso 
lithium ...",1 Jun 2021
The next generation of lithium batteries - Patrick Poke | Livewire,"“These new lithium and sulphur batteries have a much higher energy density, 
are lighter, and also safer than the current lithium ion batteries,” said 
Professor ...",2 Jun 2021
EXCLUSIVE Mexico now ready to welcome private lithium ...,"After touting the possibility of a state-run lithium monopoly late last 
year, Sen. Alejandro Armenta, chairman of the upper chamber's finance 
committee and a ...",2 Jun 2021
Piedmont Lithium Adds Governance and Operational ...,"NEW YORK--(BUSINESS WIRE)--Piedmont Lithium Inc., (“Piedmont” or the 
“Company”) (NASDAQ: PLL; ASX: PLL), a clean energy company focused on the 
integrated ...",2 Jun 2021
Sigma joining lithium top tier after doubling Brazil project ...,"Sigma Lithium Resources' (TSX-V: SGMA) preliminary economic assessment 
(PEA) for the second deposit at its Grota do Cirilo project, released on 
Wednesday, ...",2 Jun 2021
Tesla to buy more than $1 bln of Australian battery minerals a ...,"Robyn Denholm, chair of the U.S. carmaker, said on Wednesday that 
Australia, which is rich in minerals used for batteries like lithium and 
nickel, ...",2 Jun 2021
Cabinet approves agreement with Argentina for securing strategic minerals,"Securing lithium supplies, a key raw material for making batteries, follows 
the Asian majors' quest for buying oil and gas fields overseas, that saw a 
resource ...",2 Jun 2021
"U.S. to list Nevada flower as endangered, dealing blow to ...","Lithium is a key component of electric vehicle (EV) batteries. The 
endangered species designation does not immediately block the project, but 
could impede ...",3 Jun 2021
US lithium mining faces new hurdle in form of rare flower,"Another proposed lithium mine in Nevada, Thacker Pass, has also been 
opposed by conservation groups. Tesla, Ford and General Motors are all 
expanding their US ...",4 Jun 2021
Wildflower and lithium mine compete for space in Nevada desert,"If protected by the Endangered Species Act, this flower may inhibit an 
Australian mining company's plans to extract lithium needed to power 
electric batteries.",4 Jun 2021
GLOBAL LITHIUM WRAP: Strong demand for hydroxide ...,"Battery-grade lithium hydroxide prices in Asia moved up over the week ended 
Thursday June 3 against the backdrop of continued tight supply and firm 
buying ...",4 Jun 2021
Scientists develop 'cheap and easy' method to extract lithium ...,"Previous efforts to tease lithium from the mixture the metal makes together 
with sodium, magnesium and potassium in seawater yielded very little.",5 Jun 2021
"New tech cheaply produces lithium and H2, while desalinating ...","With the rise of the lithium-based battery, demand for this soft, 
silvery-white metal – the lightest solid element in the periodic table – 
has exploded.",7 Jun 2021
The US wants to fix its broken lithium battery supply chain,"The US announced plans to build out a domestic supply chain for lithium 
batteries, which are critical for electric vehicles and renewable energy.",8 Jun 2021
New paper details profitable lithium extraction from seawater,"Researchers from the King Abdullah University of Science and Technology in 
Saudi Arabia produced lithium phosphate with a purity of 99.94% by 
enriching ...",8 Jun 2021
The Fuel Of The Future That’s 9 Times More Efficient Than Lithium,"Much of the early attention of the clean energy movement was focused on 
lithium thanks to the heavy attention paid to the electric vehicle markets.",9 Jun 2021
"Battery recycling efforts pick up as cobalt, lithium face potential ...","Some key components of EV batteries, such as lithium and cobalt, are 
expected to be in short supply after 2024, while nickel, another major EV 
battery ...",9 Jun 2021
An atomic look at lithium-rich batteries,"An international team of collaborators has made the first direct 
observation of the anionic redox reaction in a lithium-rich battery 
material. The research ...",9 Jun 2021
Neo Lithium Updates 3Q Project with 125% Increase of ...,"Significant increase in northern high-grade mineral resource estimate at 
800 mg/l lithium cut-off: Measured and indicated resource estimate of 
1,682,000 ...",9 Jun 2021
Energy Secretary says US wants 'responsible' lithium mining,"NORTH LAS VEGAS (AP) — Secretary of Energy Jennifer Granholm said the Biden 
administration wants to see lithium needed for electric cars to be mined 
“in a ...",10 Jun 2021
"Schlumberger New Energy, Panasonic Energy partner on new ...","Schlumberger New Energy, Panasonic Energy partner on new lithium ... of the 
innovative and sustainable lithium extraction and production process to be 
used ...",10 Jun 2021
Top Lithium Miner to Boost Extraction in Search for Green ...,"The world's biggest lithium producer is proceeding with a project to 
extract more of the battery metal from the brine it pumps up from a Chilean 
salt flat ...",10 Jun 2021
China's Ganfeng Lithium to sell $630 million of shares to fund expansion,"(Reuters) - Ganfeng Lithium, one of the world's top lithium producers, said 
on Friday it would sell around HK$4.9 billion ($630 million) in new shares 
to ...",10 Jun 2021
Process for extracting lithium from seawater may be better ...,"This membrane filters lithium and leaves out larger sodium, magnesium and 
potassium ions. Sign Up for the Battery Metals Digest. Sign Up.",10 Jun 2021
Lithium Americas Announces Two New Directors and Confirms,"(TSX: LAC) (NYSE: LAC) (“Lithium Americas” or the “Company”) is pleased to 
announce the election of Kelvin Dushnisky and Jinhee Magie to the Company's 
board of ...",10 Jun 2021
EXCLUSIVE Lithium Americas delays Nevada mine work after ...,"June 11 (Reuters) - Lithium Americas Corp (LAC.TO) has delayed plans to 
excavate its Thacker Pass lithium mine site in Nevada, according to court 
filings, ...",11 Jun 2021
"Schlumberger, Panasonic Team Up To Produce Battery ...","The global electronics company is considered a Tier 1 lithium-ion battery 
producer and is listed as the world's third-largest supplier of EV 
batteries.",11 Jun 2021
China's Ganfeng to pay $130 million for stake in Mali lithium mine,"The purchase marks the Chinese firm's first investment in lithium mining in 
Africa as it seeks to expand production for the commodity used in 
electric-vehicle ...",14 Jun 2021
Scientists discover how oxygen loss saps a lithium-ion ...,"When lithium ions flow in and out of a battery electrode during charging 
and discharging, a tiny bit of oxygen seeps out and the battery's voltage 
-- a ...",14 Jun 2021
Ganfeng Lithium to buy 50% stake in Mali lithium mine for ...,"China lithium producer Ganfeng Lithium is acquiring a 50% stake in a 
special purpose company that owns the Goulamina hard-rock mine in Mali for 
$130 million, ...",15 Jun 2021
Volkswagen seeks partners for battery materials race,"The world's second biggest carmaker is trying to exert more control over 
key components in its supply chain such as semiconductors and lithium so it 
can ...",15 Jun 2021
Lithium Americas on track to start Thacker Pass works in early ...,"Junior miner Lithium Americas is on track to begin construction of its 
Thacker Pass project in the United States in early 2022, chief executive 
officer and ...",16 Jun 2021
"FOCUS: Narrowing gap between spot, contract lithium prices ...","The gap between lithium spot and contract prices has narrowed significantly 
in 2021 as a result of tight availability along the lithium supply chain 
and ...",16 Jun 2021
US DOE hosts lithium roundtable,"US Secretary of Energy, Jennifer Granholm, has hosted a roundtable 
discussion with seven members of the lithium battery industry.",16 Jun 2021
The Lithium Mine Versus the Wildflower,"Lithium is a feisty element. When it's bonded with other elements to form a 
compound colloquially known as a salt, it may act as a mood stabilizer. But 
on its ...",17 Jun 2021
Neo Lithium Produces 99.9% Battery Grade Lithium Carbonate,"This methodology will by applied to the design of the 3Q Project lithium 
carbonate pilot plant (""the Plant"") in the feasibility study being carried 
out by ...",17 Jun 2021
GLOBAL LITHIUM WRAP: Hydroxide prices post gains on ...,"Battery-grade lithium carbonate suppliers in China's domestic market held 
offers steady, supporting the price at current levels. Europe, US lithium 
spot complex ...",18 Jun 2021
"Altered microstructure improves organic-based, solid state ...","Lithium-metal in anodes are considered the ""holy grail"" for improving 
energy density in EV batteries compared to incumbent options like graphite 
at 240 ...",18 Jun 2021
UK geothermal lithium player $7m crowdfunding success,"2 months ago. Cornwall, UK-based Cornish Lithium successfully raises GBP 6 
million through crowdfunding to help progress its geothermal lithium 
projects.",21 Jun 2021
Lithium mining in DRC could make it a top global supplier,"Although it does not yet produce lithium, the Democratic Republic of Congo 
looks set to become one of the world's suppliers of this metal, classified 
as ...",22 Jun 2021
Horizons ETFs Debuts Lithium and Hydrogen Exchange ...,"Horizons ETFs Management Canada is launching two exchange-traded funds that 
give investors exposure to lithium and hydrogen, tapping into two 
fast-growing ...",23 Jun 2021
How to make lithium-ion batteries invincible,"The lithium-ion battery -- the dominant technology for the foreseeable 
future -- has a component made of cobalt and nickel, and those two metals 
face severe ...",23 Jun 2021
European Commission launched lithium-ion battery ...,"European Commission launched lithium-ion battery investment project ... The 
European Commission (EC) and the Batteries European Partnership Association 
(BEPA) ...",23 Jun 2021
Why new long-duration energy storage technologies will soon ...,"Why new long-duration energy storage technologies will soon replace 
lithium-ion on grid. Li-ion's reign as the go-to technology for grid 
storage is coming ...",23 Jun 2021
"Lithium-Ion Battery Supply Chain, Logistics and Profitability","As of 2019, upstream/mining (23%), midstream chemical refining (80%), 
cathode/anode production (66%), and downstream lithium ion battery cell 
production ...",24 Jun 2021
A simple lab-based technique to look inside lithium-ion batteries,"The key to advancing lithium-ion battery technology requires a better 
understanding of the dynamic processes in functioning materials under 
realistic ...",24 Jun 2021
Lithium-Ion Battery Care Guide – Part Five,"Lithium-ion batteries are the most common battery in consumer electronics. 
They are used in everything from cell phones to power tools to electric 
cars and ...",24 Jun 2021
ioneer's Rhyolite Ridge lithium-boron project achieves major ...,"ioneer Ltd, a lithium-boron project developer, has confirmed the issuance 
of a Class II Air Quality Permit for its Rhyolite Ridge project in Nevada, 
USA.",24 Jun 2021
GLOBAL LITHIUM WRAP: Tight availability continues to ...,"Lithium carbonate and hydroxide prices in the seaborne Asian market nudged 
higher due to a combination of aggressive lack of availability.",25 Jun 2021
Can Lithium Supply Keep Up With Strong EV Demand?,"As electric vehicle demand grows, analysts predict 75% of all mined lithium 
could go to EVs by 2025 · After miners ramped up lithium production, prices 
halved ...",28 Jun 2021
Chinese firm CATL to supply lithium-ion batteries to Tesla,"Chinese electric vehicle (EV) battery giant, Contemporary Amperex 
Technology Co (CATL), will start to supply lithium-ion batteries to the 
American EV maker ...",28 Jun 2021
UK's Green Lithium secures GBP1.6 million in funding to build ...,"Mineral processing company Green Lithium has secured GBP1.6 million ($2.2 
million) ... a large-scale 50,000 mt/year commercial lithium refinery in 
the UK.",28 Jun 2021
Infinity Lithium to supply LG ES with Spanish lithium - electrive ...,"A freshly signed letter of intent between the Australian mining company 
Infinity Lithium and LG Energy Solution provides for the commodities group 
to supply ...",28 Jun 2021
Surge Battery Metals Targets New Lithium Clay Deposits in ...,"The Company refers to this series of mineral claims as the Northern Nevada 
Lithium Project. The terms of the mineral claim acquisition are as follows:.",28 Jun 2021
"Webinar - GeoLith, tests of geothermal lithium extraction, July 2, 2021","In this webinar by IGC.events, Jean-Philippe Gibaud, founder of Geolith 
will share first feedback from pilot project tests on direct lithium 
extraction.",28 Jun 2021
Lithium-ion batteries need to be greener and more ethical,"Lithium-ion rechargeable batteries — already widely used in laptops and 
smartphones — will be the beating heart of electric vehicles and much else.",29 Jun 2021
"Nearly 100 Tons of Lithium Batteries Involved in Large Morris Industrial 
Fire","Nearly 100 tons of lithium batteries were involved in a large industrial 
fire in southwest suburban Morris Tuesday that led to emergency evacuations 
and a ...",29 Jun 2021
Australia's ioneer signs lithium offtake deal with South Korea's Ecopro,"June 30 (Reuters) - Australian lithium-boron supplier ioneer Ltd said on 
Wednesday it would supply lithium carbonate to a unit of South Korean 
battery maker ...",29 Jun 2021
American Lithium Obtains 82% Lithium Extraction Using ...,"American Lithium Provides TLC Process Update: The TLC project has 
previously shown that its Li-rich claystones are amenable to rapid sulfuric 
acid leaching, ...",29 Jun 2021
"1,000 homes evacuated after pounds of lithium batteries explode in old 
Illinois paper mill","For the second day, clouds of smoke filled the air in Morris as 180,000 to 
200,000 pounds of lithium batteries continued to explode.",30 Jun 2021
Biggest Lithium Maker Ups Game in Race to Power Electric Cars,"New innovation center expected to be fully operational in July · Company to 
develop lithium products three times as fast.",30 Jun 2021
Piedmont and Sayona Receive Court Approval for Acquisition ...,"Superior Court of Québec approves Sayona Québec's acquisition of North 
American Lithium (“NAL”); Total cash consideration of approximately C$94mm 
with ...",30 Jun 2021
