Title,Content,Date
RED teases Lithium 3D camera add-on for the Hydrogen One - GSMArena.com news,"The first officially confirmed module is the Lithium camera. It's a 3D 
 stereoscopic camera that will feature two image sensors and zoom lenses.",3 Jan 2019
New lithium hydroxide factory in Western Australia wins federal approval,"Plant set to boost local jobs and supply growing global demand for lithium, 
 which is used in renewable energy storage. The new plant at Kemerton is 
 the ...",3 Jan 2019
Lithium-ion battery to help power a 200-room hotel in Scotland,"A hotel in Scotland has started to use a lithium-ion battery to help power 
 its operations. The Edinburgh Park hotel, a 200-room Premier Inn in 
 Edinburgh, ...",4 Jan 2019
The DIY Home Projects People Regret the Most,"This Modern Farmhouse Was Our Best-Selling House Plan of 2020—and Now It 
 Can Be Yours for 10% Off. Video. Good Earth Lighting 12-Inch Rechargeable 
 Lithium ...",4 Jan 2019
"Chilean lithium exports continue rise, to $949 mln in 2018 - central bank","Top lithium producers Albemarle and SQM have both signed deals in recent 
 years with the Chilean government to increase production in the 
 lithium-rich Salar de ...",7 Jan 2019
Motorola Modular Power System Uses New Aluminum Lithium ...,"“Aluminum Lithium Ion technology also maintains high output capacity at 
 very cold temperatures, retaining 85% of battery capacity even if the 
 temperature drops ...",7 Jan 2019
BossTek unveils DustBoss DB-60 Fusion,"23 AUG 2021. AMG building industrial lithium battery · Power / Remote 
 power. 23 AUG 2021. Future of Mining.",7 Jan 2019
"Explainer: SQM and Chile reach lithium deal, but Atacama water woes continue","SANTIAGO (Reuters) - Chile's environmental regulator this week approved a 
 $25 million compliance plan by lithium miner SQM SQMa.SN, ending a 
 multi-year ...",9 Jan 2019
Model predicts lithium-ion batteries most competitive for ...,"""We have found that lithium-ion batteries are following in the footsteps of 
 crystalline silicon solar panels,"" says senior author Iain Staffell 
 (@iain_staffell) ...",9 Jan 2019
Electric/Hybrid - Hybrid and Electric vehicles continue to drive ...,"The demand for lithium-ion batteries continues to increase at a rapid pace, 
 driven by the growth in hybrid and electric vehicle (xEV) production and 
 the use ...",10 Jan 2019
LSC Lithium Files Technical Report for Pozuelos With ...,"HIGHLIGHTS. Measured and Indicated Resource of 1,678,000 tonnes of LCE, an 
 increase of 29%, with lithium grade of 505mg/l Li; Inferred Resource of 
 631,000 ...",10 Jan 2019
ICL model predicts lithium-ion batteries most competitive for ...,"Personally, I was always quite skeptical toward lithium-ion storage for 
 stationary applications, but when it comes to the levelized cost of 
 storage—investment, ...",10 Jan 2019
