Title,Content,Date
Pure Energy's Robinson surveys the world's lithium deposits,"And so The Northern Miner reached out to Andy Robinson, chief operating 
 officer for Pure Energy Minerals (TSXV: PE), to describe the fundamentals 
 of lithium ...",1 Jun 2016
India All Set to Produce Its First Lithium-Ion Battery: CECRI,"India has one billion users of lithium ion batteries, mostly used in 
 mobiles and laptops. CECRI has also invited investors for mass production. 
 According to ...",1 Jun 2016
lithium cycles develops highly-capable super 73 e-bike,"super 73', the recent undertaking of californian electric vehicle startup 
 lithium cycles, has just entered the realm of success in an ongoing 
 kickstarter ...",2 Jun 2016
Lithium Mine vs. Oil Sands Extraction,"In May 2016, an image purportedly showing the visual difference between 
 lithium mines (from which a key element of rechargeable batteries is 
 extracted) and ...",3 Jun 2016
Particle 'X' may have snuffed out cosmic lithium – Physics World,"However, the theoretical value for lithium – just five per billion of 
 hydrogen – is ... might have converted lithium-7 into lighter nuclei such 
 as helium-4.",3 Jun 2016
"What price lithium, the metal of the future? Andy Home","Lithium is shaping up to be The Next Big Thing. Prices are going 
 stratospheric, junior miners are rushing to stake claims on future supply 
 and investment ...",6 Jun 2016
"What Price Lithium, the Metal of the Future?","(Reuters) – Lithium is shaping up to be The Next Big Thing. Prices are 
 going stratospheric, junior miners are rushing to stake claims on future 
 supply and ...",6 Jun 2016
"Lithium is soaring, but here are 3 big problems with it","OLIGOPOLY. That opacity is a direct result of the way the lithium market is 
 structured. Only four producers control about 85 per cent of supply, 
 Macquarie says ...",7 Jun 2016
Tesla offered $325 million for Salton Sea startup,"Simbol claimed it had developed extraordinary technology for extracting 
 lithium — a key ingredient in the batteries that power Tesla's electric 
 cars — from ...",8 Jun 2016
Tesla Tried To Buy A Lithium Startup for $325 Million,"Two years ago, Tesla CEO Elon Musk offered $325 million to buy the once 
 promising startup Simbol Materials, which was extracting small amounts of 
 lithium ...",8 Jun 2016
Regionally mined lithium could power your next car,"THUNDER BAY – Experts say the rise of the electric car could make 
 Northwestern Ontario a “middle player” in global lithium mining.",8 Jun 2016
Lighter and cleaner: could lithium-sulfur batteries be the next ...,"The lithium-ion (li-ion) battery is one of the most well-known on the 
 market at the moment. Used to power items from laptops to cars, the ability 
 to recharge ...",9 Jun 2016
"Lithium launches Klout-powered Reach to put the social back in social media 
 marketing","When Lithium Technologies — providers of social customer service platforms 
 to the likes of Skype, Sony, and Telus — acquired Klout in 2014, ...",9 Jun 2016
Tesla tried and failed to buy a lithium startup for $325 million,"Simbol Materials was a lithium extraction startup based on the southern 
 shore of the Salton Sea, southeast of Southern California's Coachella 
 Valley. Its claim ...",9 Jun 2016
Top 5 Lithium Miners To Consider,"Why invest in a lithium miner? Selecting the best lithium companies based 
 on resource, stage of development, cost of production, and valuation.",13 Jun 2016
True Blue Power and Avmax certify lithium-ion battery on Twin Otter Aircraft,"Estimated reading time 3 minutes, 1 seconds. The Twin Otter is well-suited 
 for the TB44 lithium-ion battery, as it typically operates in a rugged, 
 commercial ...",13 Jun 2016
"Lithium Reach social publishing platform launches to deliver extra 
 engagement","Lithium hopes that its tool will become the single platform for campaign 
 planning, content creation, content approvals, publishing and real-time 
 analytics. The ...",14 Jun 2016
