Title,Content,Date
"IDTechEx Commentary on Volkswagen's Long-term, High ...","BASF's high manganese cathode, NCM 217, may refer to a Li-Mn-rich type 
 material. This leaves LNMO as the most likely cathode VW were referring to. 
 The high- ...",1 Apr 2021
Doubling the charging-recharging cycle of lithium batteries,"Their findings shed lights on developing low cost and high efficiency 
 manganese-based cathode materials for lithium-ion batteries. The research 
 team was co-led ...",1 Apr 2021
Giyani Metals Appoints New CFO and Provides Operations ...,"Hill manganese project (“K.Hill”) reserve infill drilling program and the 
 commencement of the 2021 exploration program at the Company's Otse prospect 
 (“Otse”), ...",1 Apr 2021
Nissan on path to cobalt-free EV batteries by mid-2020s,"In developing a cobalt-free EV battery, Nissan expects to further increase 
 the proportion of manganese and improve the quality of the negative 
 electrode. Tesla ...",1 Apr 2021
"IDTechEx comments on Volkswagen's long-term, high ...","commercially available high-manganese cathodes already exist in the form of 
 the lithium-manganese oxide spinel, which was used for the first-generation 
 Nissan ...",2 Apr 2021
"Here's Why We're Not Too Worried About American Manganese's (CVE:AMY) Cash 
 Burn Situation","As at January 2021, American Manganese had cash of CA$2.6m and no debt. 
 Looking at the last year, the company burnt through CA$1.2m. So it had a 
 cash runway of ...",3 Apr 2021
Chinese manganese producers set up new company,"A group of major Chinese manganese producers have established a new 
 company, Qingdao Manganese Series Investment, in a bid to support market 
 prices and ...",5 Apr 2021
PRICING NOTICE: Change in specifications for cfr Southeast ...,"Others said that the current, standard 5sp specifications for the price 
 makes it a clearer benchmark price which is less dependent on swings in the 
 manganese ...",5 Apr 2021
Scientists reveal elusive inner workings of antioxidant enzyme ...,"The enzyme manganese superoxide dismutase (MnSOD) plays a critical role in 
 maintaining human health by keeping the amount of harmful reactive oxygen 
 molecules ...",6 Apr 2021
Assessing the impacts of nodule mining on the deep-sea ...,"Manganese nodule with a deep-sea sponge. ... Credit: ROV KIEL6000, GEOMAR. 
 Joint press release of GEOMAR Helmholtz Centre for Ocean Research Kiel, 
 Alfred-Wegener ...",6 Apr 2021
The future of electric vehicle with cobalt-free batteries,"The blended nickel cobalt manganese lithium-ion battery is the current and 
 most popular supported choice. Cobalt, the expensive, rare, and toxic 
 blue ...",6 Apr 2021
20 Best Superfoods for Weight Loss,"It's a great source of antioxidants and several key nutrients, including 
 manganese and vitamins C and vitamin K ( · Kale is also low in calories and 
 high in ...",6 Apr 2021
Angola: Manganese Exploration in Quitota Kicks Off Soon,"As part of the National Development Programme, the mining project expects 
 to reach around 40k tonnes of manganese by the end of this year (a product 
 used in ...",7 Apr 2021
New World Resources running on bumper copper hits,"And additionally, Firefly's move to set manganese Firebird free delivers a 
 windfall for shareholders, alongside the question of whether Tolga has 
 an ...",8 Apr 2021
China’s new manganese company to support prices: Market,"Market participants expect Chinese manganese prices to hold firm following 
 the establishment of Qingdao Manganese Series Investment, a new company 
 that has ...",9 Apr 2021
"American Manganese improves the manganese processing flowsheet for its US 
 Defense Logistics Agency project","American Manganese improves the manganese processing flowsheet for its US 
 Defense Logistics Agency project. The company said it expects the 
 flowsheet ...",9 Apr 2021
X-ray study recasts role of battery material from cathode to ...,"The researchers focused their investigations on a material called lithium 
 manganese oxide (Li2MnO3), the extreme example of so-called 
 ""lithium-rich"" ...",9 Apr 2021
China's CNGR to build nickel matte plant in Indonesia,"... core material used in battery ternary precursors, particularly 
 high-nickel-content nickel-cobalt-aluminium/nickel-cobalt-manganese 
 (NCA/NCM) batteries.",9 Apr 2021
Giyani Announces Positive Updated PEA Results for its K.Hill ...,"Hill Manganese Project, Botswana. April 12, 2021 07:58 ET | Source: Giyani 
 Metals Corp.",12 Apr 2021
Giyani updates PEA for Botswana manganese project,"Hill) manganese project in southeastern Botswana, about 60 km southwest of 
 the capital Gaborone. The K.Hill project is a near-surface deposit that 
 Giyani hopes ...",12 Apr 2021
Canada's Maritimes; don't overlook this metals-rich region ...,"Manganese X Energy Corp. [MN-TSXV; SNCGF-OTC; 9SC2-FSE; SSM-Lima] released 
 assay results from the fall 2020 diamond drilling program at the 
 company's ...",12 Apr 2021
Manganese X Energy Announces Shareholder Approval of ...,"Manganese X Energy Announces Shareholder Approval of Plan of Arrangement 
 with Graphano Energy Ltd. and Appointment of Robert Tjandra as New Director.",13 Apr 2021
Mining reports first year-on-year increase in 12 months,"... manganese production, up 21.6%; and ""other"" non-metallic minerals, 
 12.6%. ... group metals - up 71.5%; iron ore - up 47%; and manganese ore - 
 up 39.7%.",13 Apr 2021
"World's no. 2 electric carmaker goes nickel, cobalt free ...","China's BYD confirmed that it is going all-in on LFP 
 (lithium-iron-phosphate) batteries, scrapping NCM (nickel, cobalt, 
 manganese) technology from its model ...",13 Apr 2021
The 8 Best Teas for Menstrual Cramps,"Walnuts, almonds, and pumpkin seeds are rich in manganese, which eases 
 cramps. Olive oil and broccoli contain vitamin E. Chicken, fish, and leafy 
 green ...",13 Apr 2021
Element 25 processes first ore at WA manganese play,"First ore has been successfully run through Element 25's new processing 
 plant at its developing Butcherbird manganese mining and beneficiation 
 operation in ...",14 Apr 2021
China's Zunyi Tianci suspends manganese production,"Chinese manganese producer Zunyi Tianci has temporarily halted its 110-120 
 t/day flake output, as part of an output suspension plan initiated by 
 the ...",14 Apr 2021
"American Manganese signs MOU with Italvolt while awarding Kemetco 
 2.7-million-dollar contract","American Manganese (CVE: AMY- OTCQB: AMYZF) CEO Larry Reaugh joined Steve 
 Darling from Proactive to bring news the company has made a number of moves 
 in ...",14 Apr 2021
