Title,Content,Date
COVID-19 Container Closure System and Component Changes: Glass Vials a,FDA.gov,4 Mar
Fourth safe and effective vaccine against COVID-19,EU News,11 Mar
What are NFTs and why are some worth millions?,BBC News,12 Mar
"Protecting the global ocean for biodiversity, food and climate",Nature.com,17 Mar
US and China trade angry words at high-level Alaska talks,BBC News,19 Mar
"World Economic Outlook, April 2021: Managing Divergent Recoveries",International Monetary Fund,23 Mar
The EU Strategy on the Rights of the Child and the European Child Guarantee,EU News,24 Mar
gov.ie - Our Rural Future: Rural Development Policy 2021-2025,Gov.ie,29 Mar
“Vaccine Passport” Certification — Policy and Ethical Considerations,nejm.org,31 Mar
"Global Financial Stability Report, April 2021: Preempting a Legacy of Vulnerabilities",International Monetary Fund,6 Apr
Joint CDC and FDA Statement on Johnson & Johnson COVID-19 Vaccine | FDA,FDA.gov,13 Apr
Apple and partners launch first-ever $200 million Restore Fund,Apple Newsroom,15 Apr
The whitest paint is here – and it's the coolest. Literally.,Purdue News Service,15 Apr
COVID vaccines and blood clots: five key questions,Nature.com,16 Apr
Northern expedition: China’s Arctic activities and ambitions,Brookings Institution,17 Apr
Apple unveils new iPad Pro with M1 chip and stunning Liquid Retina XDR display,Apple Newsroom,20 Apr
Apple introduces iPhone 12 and iPhone 12 mini in a stunning new purple,Apple Newsroom,20 Apr
"USDA Issues Pandemic Flexibilities for Schools and Day Care Facilities through June 2022 to Support Safe Reopening and Healthy, Nutritious Meals",USDA.gov,20 Apr
FDA and CDC Lift Recommended Pause on Johnson & Johnson (Janssen) COVID-19 Vaccine Use Following Thorough Safety Review | FDA,FDA.gov,23 Apr
"Associations between body-mass index and COVID-19 severity in 6·9 million people in England: a prospective, community-based, cohort study",The Lancet,28 Apr
FDA Commits to Evidence-Based Actions Aimed at Saving Lives and Preventing Future Generations of Smokers | FDA,FDA.gov,29 Apr
"Nobel Prize Laureates and Other Experts Issue Urgent Call for Action After 'Our Planet, Our Future' Summit","The National Academies of Sciences, Engineering, and Medicine",29 Apr
"LSD, Cargo Shorts, and the Fall of a High-Flying Tech CEO",Bloomberg,3 May
"Impact and effectiveness of mRNA BNT162b2 vaccine against SARS-CoV-2 infections and COVID-19 cases, hospitalisations, and deaths following a nationwide vaccination campaign in Israel: an observational study using national surveillance data",The Lancet,5 May
Inside and Out | NEJM,nejm.org,6 May
Inside and Out,nejm.org,6 May
WHO lists additional COVID-19 vaccine for emergency use and issues interim policy recommendations,World Health Organization,7 May
"Carbohydrates, insulin, and obesity",Science Magazine,7 May
Coronavirus (COVID-19) Update: FDA Authorizes Pfizer-BioNTech COVID-19 Vaccine for Emergency Use in Adolescents in Another Important Action in Fight Against Pandemic | FDA,FDA.gov,10 May
Ultralow contact resistance between semimetal and monolayer semiconductors,Nature.com,12 May
Identify — and Hire — Lifelong Learners,Harvard Business Review,13 May
"Long working hours increasing deaths from heart disease and stroke: WHO, ILO",World Health Organization,17 May
Apple Music announces Spatial Audio and Lossless Audio,Apple Newsroom,17 May
The evolution and changing ecology of the African hominid oral microbiome,pnas.org,18 May
Mix-and-match COVID vaccines trigger potent immune response,Nature.com,19 May
Israel and Hamas both claim victory as ceasefire holds,Reuters,21 May
Angelina Jolie embraces bees—and female beekeepers as environmental guardians,National Geographic,21 May
Joint statement from ATAGI and THANZ on Thrombosis with Thrombocytopenia Syndrome (TTS) and the use of COVID-19 Vaccine AstraZeneca,Australian Government Department of Health,23 May
6-month multidisciplinary follow-up and outcomes of patients with paediatric inflammatory multisystem syndrome (PIMS-TS) at a UK tertiary paediatric hospital: a retrospective cohort study,The Lancet,24 May
Reverse-transcribed SARS-CoV-2 RNA can integrate into the genome of cultured human cells and can be expressed in patient-derived tissues,pnas.org,25 May
Coronavirus (COVID-19) Update: FDA Authorizes Additional Monoclonal Antibody for Treatment of COVID-19 | FDA,FDA.gov,26 May
