Title,Content,Date
"Building a Green, Resilient, and Inclusive Recovery: Speech by World Bank Group President David Malpass",World Bank Group,29 Mar
Long spaceflights and endurance swimming can 'shrink the heart',BBC News,29 Mar
gov.ie - Our Rural Future: Rural Development Policy 2021-2025,Gov.ie,29 Mar
"Understanding Beijing’s motives regarding Taiwan, and America’s role",Brookings Institution,30 Mar
UNHCR rushing support and aid to Rohingya refugees affected by last week's massive fire,UNHCR,30 Mar
Vitamin D supplementation to prevent acute respiratory infections: a systematic review and meta-analysis of aggregate data from randomised controlled trials,The Lancet,30 Mar
Macroeconomic Developments and Prospects In Low-Income Countries—2021,International Monetary Fund,31 Mar
Shared mechanisms underlie the control of working memory and attention,Nature.com,31 Mar
IMF Staff and Jordan reach Staff-Level Agreement on the Second Review Under the Extended Fund Facility,International Monetary Fund,31 Mar
"Flavour Hund's coupling, Chern gaps and charge diffusivity in moiré graphene",Nature.com,31 Mar
Coronavirus (COVID-19) Update: FDA Continues to Advance Over-the Counter and Other Screening Test Development | FDA,FDA.gov,31 Mar
“Vaccine Passport” Certification — Policy and Ethical Considerations,nejm.org,31 Mar
ICC and Jus Mundi launch partnership to publish ICC arbitral awards - ICC,International Chamber of Commerce,1 Apr
Taming the Wave of Small and Medium Enterprise Insolvencies,International Monetary Fund,2 Apr
Insolvency Prospects Among Small-and-Medium-Sized Enterprises in Advanced Economies,International Monetary Fund,2 Apr
"US and UK Join Canada in Designating Myanmar's Military Conglomerates, with EU Considering Further Action",Gibson Dunn,2 Apr
An Asynchronous and Divergent Recovery May Put Financial Stability at Risk,International Monetary Fund,6 Apr
"Global Financial Stability Report, April 2021: Preempting a Legacy of Vulnerabilities",International Monetary Fund,6 Apr
6-month neurological and psychiatric outcomes in 236 379 survivors of COVID-19: a retrospective cohort study using electronic health records,The Lancet,6 Apr
The woman who took on Google and won,BBC News,7 Apr
Five carbon- and nitrogen-bearing species in a hot giant planet's atmosphere,Nature.com,7 Apr
"Can Diarrhea and a Cold Co-Occur, or Is It More Serious?",Healthline,7 Apr
MacBook and iPad production delayed as supply crunch hits Apple,Nikkei Asia,8 Apr
Navalny: Jailed Putin critic 'losing sensation in legs and hands',BBC News,8 Apr
Skinny Jeans and 9 Other Styles That Date You,The Wall Street Journal,10 Apr
WHO technical manual on tobacco tax policy and administration,World Health Organization,12 Apr
Multilevel proteomics reveals host perturbations by SARS-CoV-2 and SARS-CoV,Nature.com,12 Apr
NHS Covid-19 app update blocked for breaking Apple and Google's rules,BBC News,12 Apr
"Export competitiveness key to Nepal's green, resilient, and inclusive recovery, states new World Bank report",World Bank Group,12 Apr
Joint CDC and FDA Statement on Johnson & Johnson COVID-19 Vaccine | FDA,FDA.gov,13 Apr
Is Russia going to war with Ukraine and other questions,BBC News,13 Apr
Bangladesh Receives Over $1 Billion World Bank Financing for Vaccination and Responding to COVID-19 Pandemic,World Bank Group,14 Apr
Investors brace for 'major shift' as momentum and value collide,Financial Times,14 Apr
Mix and match' UK Covid vaccine trial expanded,BBC News,14 Apr
The race for antiviral drugs to beat COVID — and the next pandemic,Nature.com,14 Apr
Apple and partners launch first-ever $200 million Restore Fund,Apple Newsroom,15 Apr
2020 antibacterial agents in clinical and preclinical development: an overview and analysis,World Health Organization,15 Apr
Prince Philip and the art of wearing formal clothes casually,Financial Times,15 Apr
"Apple Fitness+ introduces new workouts, trainers, and Time to Walk guest",Apple Newsroom,15 Apr
DOE Announces $162 Million to Decarbonize Cars and Trucks,Energy.gov,15 Apr
The whitest paint is here – and it's the coolest. Literally.,Purdue News Service,15 Apr
SARS-CoV-2 seropositivity and subsequent infection risk in healthy young adults: a prospective cohort study,The Lancet,15 Apr
COVID vaccines and blood clots: five key questions,Nature.com,16 Apr
Coronavirus (COVID-19) Update: FDA Revokes Emergency Use Authorization for Monoclonal Antibody Bamlanivimab | FDA,FDA.gov,16 Apr
Biden and Japan's Suga project unity against China's assertiveness,Reuters,16 Apr
Short-term Shot and Long-term Healing for Latin America and the Caribbean,International Monetary Fund,16 Apr
Northern expedition: China’s Arctic activities and ambitions,Brookings Institution,17 Apr
Preparing for Heightened Tensions Between China and India,Council on Foreign Relations,19 Apr
Poverty and fragility: Where will the poor live in 2030?,Brookings Institution,19 Apr
The damage is total': fire rips through historic South African library and plant collection,Nature.com,19 Apr
How university diversity rationales inform student preferences and outcomes,pnas.org,20 Apr
Apple unveils new iPad Pro with M1 chip and stunning Liquid Retina XDR display,Apple Newsroom,20 Apr
Apple introduces iPhone 12 and iPhone 12 mini in a stunning new purple,Apple Newsroom,20 Apr
"iMac features all-new design in vibrant colors, M1 chip, and 4.5K Retina display",Apple Newsroom,20 Apr
"USDA Issues Pandemic Flexibilities for Schools and Day Care Facilities through June 2022 to Support Safe Reopening and Healthy, Nutritious Meals",USDA.gov,20 Apr
Xi warns against economic decoupling and calls for new world order,Financial Times,20 Apr
Medicine's Privileged Gatekeepers: Producing Harmful Ignorance About Racism And Health,Health Affairs,20 Apr
COVID-19 vaccine efficacy and effectiveness—the elephant (not) in the room,The Lancet,20 Apr
COVID vaccines and kids: five questions as trials begin,Nature.com,21 Apr
EU and India plan global infrastructure deal,Financial Times,21 Apr
Australia cancels Belt and Road deals; China warns of further damage to ties,Reuters,21 Apr
The Town and Country Planning (Consultation) (England) Direction 2021,GOV.UK,21 Apr
Advancing the Development of Safe and Effective Regenerative Medicine Products | FDA,FDA.gov,21 Apr
For Man and Nature: Building a Community of Life Together,MFA China,22 Apr
Climate change and green finance,bis.org,22 Apr
"What you need to know before, during and after receiving a COVID-19 vaccine",UNICEF,23 Apr
FDA and CDC Lift Recommended Pause on Johnson & Johnson (Janssen) COVID-19 Vaccine Use Following Thorough Safety Review | FDA,FDA.gov,23 Apr
Sell yourself and your science in a compelling personal statement,Nature.com,23 Apr
"How Electric, Self-Driving Cars and Ride-Hailing Will Transform the Car Industry",The Wall Street Journal,23 Apr
Chile: 2021 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for Chile,International Monetary Fund,23 Apr
COVID-19 and Parkinson's: Exploring the link,Medical News Today,23 Apr
"Globalisation and global crises | VOX, CEPR Policy Portal",voxeu.org,23 Apr
What's Next in the MCU After The Falcon and the Winter Soldier,TIME,24 Apr
Global chip shortage spreads to toasters and washing machines,Financial Times,25 Apr
We are drowning in insecurity': young people and life after the pandemic,Financial Times,25 Apr
Vaccine makers say IP waiver could hand technology to China and Russia,Financial Times,25 Apr
"iOS 14.5 offers Unlock iPhone with Apple Watch, diverse Siri voices, and more",Apple Newsroom,26 Apr
Republic of Uzbekistan: 2021 Article IV Consultation-Press Release; and Staff Report,International Monetary Fund,26 Apr
Can 'The King and I' Be Decolonized?,American Theatre,26 Apr
"Disability considerations for COVID-19 vaccination: WHO and UNICEF policy brief, 19 April 2021",World Health Organization,26 Apr
Swinburne's Space Technology and Industry Institute,Swinburne University of Technology,26 Apr
"Miscarriage matters: the epidemiological, physical, psychological, and economic costs of early pregnancy loss",The Lancet,26 Apr
PLOS Sustainability and Transformation: A Peer-Reviewed Open-Access Journal,PLoS Blogs,27 Apr
New guides to bolster shark and ray research and species identification in Southeast Asia,Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),27 Apr
Sahel Crisis: Humanitarian Needs and Requirements Overview (April 2021) - Burkina Faso,ReliefWeb,27 Apr
"Subdued Recovery Expected in Bosnia and Herzegovina, Following Historic Recession, Says New World Bank Report",World Bank Group,27 Apr
Israel committing crimes of apartheid and persecution - HRW,BBC News,27 Apr
"Humana to Acquire All of Kindred at Home, Divest Hospice and Community Care Operations",Home Health Care News,27 Apr
"Conversations, and how we end them",Nature.com,28 Apr
"What Is an NFT Sneaker, and Why Is It Worth $10,000?",GQ,28 Apr
Washington Is Avoiding the Tough Questions on Taiwan and China,Foreign Affairs Magazine,28 Apr
"Associations between body-mass index and COVID-19 severity in 6·9 million people in England: a prospective, community-based, cohort study",The Lancet,28 Apr
Policy Brief: SPREP Report Assesses State of Environment and Conservation in Pacific Islands | SDG Knowledge Hub | IISD,IISD's SDG Knowledge Hub,28 Apr
"Doubling down on accessibility: Microsoft's next steps to expand accessibility in technology, the workforce and workplace - The Official Microsoft Blog",Microsoft,28 Apr
Saudi Aramco and India's Reliance discuss cash and share stake deal,Financial Times,28 Apr
The importance of USMCA for the Biden administration’s economic and foreign policy,Brookings Institution,28 Apr
"WHO Publishes new guidance to promote Strong, Efficient and Sustainable Regulatory Systems",World Health Organization,29 Apr
FDA Commits to Evidence-Based Actions Aimed at Saving Lives and Preventing Future Generations of Smokers | FDA,FDA.gov,29 Apr
"Nobel Prize Laureates and Other Experts Issue Urgent Call for Action After 'Our Planet, Our Future' Summit","The National Academies of Sciences, Engineering, and Medicine",29 Apr
DOE Awards $19 Million for Initiatives to Produce Rare Earth Elements and Critical Minerals,Energy.gov,29 Apr
"Ethnic differences in SARS-CoV-2 infection and COVID-19-related hospitalisation, intensive care unit admission, and death in 17 million adults in England: an observational cohort study using the OpenSAFELY platform",The Lancet,30 Apr
Job losses and falling salaries batter US academia,Nature.com,30 Apr
"LSD, Cargo Shorts, and the Fall of a High-Flying Tech CEO",Bloomberg,3 May
"Hair Vitamins: What Are They, and Do They Work?",Healthline,3 May
