Title,Content,Date
Petronas Gas sambung perjanjian pemprosesan gas bersama PETRONAS,"KUALA LUMPUR: Petronas Gas Bhd (PGB) memasuki penggal kedua Perjanjian 
 Pemprosesan Gas (GPA) bersama PETRONAS yang akan bermula esok dan 
 berlanjutan hingga ...",31 Dec 2018
Pabuk storm: Petronas activates emergency response team,"KUALA TERENGGANU: Petronas has activated its Emergency Response Team as 
 their Peninsular Malaysia Assets' offshore facilities are experiencing high 
 waves ...",3 Jan 2019
Petronas Gas to see neutral impact from TPA,"As per Petronas Gas' filing on Bursa Malaysia, the TPA system will allow 
 multiple entities to have access to and utilise the gas facilities 
 available in ...",3 Jan 2019
Ribut Pabuk: Petronas aktifkan pasukan respons kecemasan,"Petroliam Nasional Bhd (Petronas) mengaktifkan Pasukan Respons Kecemasannya 
 berikutan kemudahan aset luar pesisir syarikat itu di Semenanjung 
 Malaysia ...",3 Jan 2019
"Sarawak, PETRONAS terus bincang isu petroleum","KUCHING: Perbincangan antara kerajaan negeri Sarawak dengan PETRONAS 
 mengenai isu petroleum akan diteruskan, kata Ketua Menteri Sarawak Datuk 
 Patinggi Abang ...",3 Jan 2019
"Aramco, Petronas near startup of Malaysia's RAPID refinery","The jointly held Saudi Aramco-Petronas $27-28 billion Pengerang Integrated 
 Complex in southeastern Johor, Malaysia, is preparing for official startup 
 of ...",4 Jan 2019
KKB Engineering dilantik kontraktor PETRONAS,"KUALA LUMPUR: OceanMight Sdn Bhd, anak syarikat KKB Engineering Bhd, 
 dipilih menjadi antara kontraktor PETRONAS membabitkan peruntukan 
 kejuruteraan, ...",6 Jan 2019
Sapura Reports Raft of New Contracts,"In addition, Sapura Drilling has been awarded a contract extension by 
 PETRONAS Carigali Sdn Bhd for the provision of semi-tender assisted 
 drilling rig, ...",7 Jan 2019
Sapura Energy bags RM760 mil worth of contracts,"SDASB was also awarded with a contract extension by Petronas for 
 semi-tender assisted drilling rig Sapura Berani to drill two wells in Sabah.",7 Jan 2019
MMHE peroleh kerangka perjanjian kontrak PETRONAS,"... Malaysia Marine and Heavy Engineering Sdn Bhd (MMHE) dianugerahkan 
 kerangka perjanjian oleh PETRONAS bagi melaksanakan bidang kejuruteraan, ...",8 Jan 2019
Petronas & Repsol Kerja Sama Garap WK Sakakemang di Sumsel,Petronas dan Repsol masing-masing melalui anak ...,8 Jan 2019
Meet the men behind Petronas De Rooy Iveco Team,"A strict procedure dictates the 32 team members of the Petronas De Rooy 
 Iveco Team and in the middle of the dust and 'fesh fesh' of the Dakar 
 bivouac, ...",9 Jan 2019
MHB to Handle Petronas Offshore Structures,"Specialist contractor Malaysia Marine and Heavy Engineering Holdings, or 
 MHB, has signed a framework agreement with oil major Petronas for the 
 provision of ...",11 Jan 2019
Petronas Chemicals profit seen under pressure on expected ...,"Petronas Chemicals Group Bhd (Jan 10, RM8.70) Maintain buy at unchanged 
 target price (TP) of RM10.80. Since the beginning of January 2019, 
 Petronas ...",11 Jan 2019
Petronas not linked to investment scam/phishing website,"In a statement today, Petronas said the group has been made aware of fake 
 stories of Tan Sri Wan Zulkiflee Wan Ariffin launching new cryptocurrency 
 technology ...",11 Jan 2019
It is not just about the money,"After quitting the Petronas job, Tang was saddled with a student loan, 
 which he settled by taking advantage of various interest-free credit card 
 payment plans.",11 Jan 2019
"Don't use phone near petrol pumps, Petronas 'reminds ...","National petroleum company Petronas has reminded Youth and Sports Minister 
 Syed Saddiq Syed Abdul Rahman's communications team not to use mobile 
 phones near ...",14 Jan 2019
W Hotel near Petronas Twin Towers for sale for RM360mil,"Sources said the price the owner is seeking may be acceptable to foreign 
 investors, especially those from China, who may view its proximity to the 
 Petronas ...",14 Jan 2019
Petronas tegur tim Syed Saddiq guna telefon di stesen minyak,"Gambar itu menarik perhatian Petronas Brands yang mengeluarkan nasihat 
 supaya tidak menggunakan telefon bimbit sewaktu berdekatan dengan pam.",14 Jan 2019
"Petronas Reminds Everyone Safety Comes First After #TeamSaddiq Posted This 
 Picture","On 13 January, a photo of Youth and Sports Minister Syed Saddiq pumping 
 petrol at a Petronas station was posted on his communication team's 
 official Twitter ...",15 Jan 2019
A Malaysian geologist in New York,"In his first column, the geologist with 30-years experience working with 
 Petronas gives an introduction to the world of geology; beginning with his 
 work at ...",15 Jan 2019
"Syed Saddiq Kena Tegur Petronas, Kenapa?","Namun foto itu langsung kena tegur akun Twitter resmi Petronas. Terlebih, 
 di dekat pom bensin itu terlihat keterangan gambar dilarang menggunakan 
 ponsel saat ...",15 Jan 2019
"Fintech summit explores blockchain revolution, lack of support ...","DRUM roll please – Hisham Albakri has not one, not two, but four children 
 who have studied in UTP (Universiti Teknologi PETRONAS).",15 Jan 2019
"Petronas in talks to enter India's solar energy firm, says report","KUALA LUMPUR (Jan 16):Petroliam Nasional Bhd (Petronas) is seeking to buy 
 into one of India's largest rooftop solar power producers, Indian 
 business ...",16 Jan 2019
PETRONAS rancang beli kepentingan pengeluar solar India,"KUALA LUMPUR: PETRONAS merancang untuk membeli kepentingan majoriti dalam 
 Amplus Energy Solutions Pvt Ltd, antara pengeluar tenaga solar bumbung 
 terbesar di ...",16 Jan 2019
"Petronas, AirAsia warn public against scams using their names","In separate statements, national petroleum company Petronas and low-cost 
 airline AirAsia urged their customers to avoid being misled by the 
 online ...",18 Jan 2019
Malaysia News: Latest National News,"Sarawak Timber Association thanks Forest Dept for speedy verification on 
 cause of recent logjam · Malaysia loses another 339 people to Covid-19 
 today · Petronas ...",19 Jan 2019
2019 MotoGP Calendar released - Petronas Yamaha Sepang ...,"The other Malaysian in the top level of motorcycle racing is Khairul Idham 
 Pawi with Petronas Sprinta Racing in Moto2. 2018 MotoGP - 28. 2018 MotoGP - 
 23.",22 Jan 2019
