Title,Content,Date
Pure Energy's Robinson surveys the world's lithium deposits,"Spodumene is a lithium-bearing mineral found within coarse-grained granite 
 ... spodumene project located next to Pilbara Minerals' Pilgangoora 
 project; ...",1 Jun 2016
"Ford's 1.0 liter EcoBoost engine, fitted in EcoSport, wins Best Small 
 Engine award","CATL has already made several investments in miners producing battery 
 metals, taking small stakes in lithium producers Pilbara Minerals and Neo 
 Lithium Corp ...",2 Jun 2016
We can make the steel industry competitive' – Liberty House's ...,"The same applies to Simec, the international resources group focused on 
 sustainable energy, mining and infrastructure assets led by his father PK 
 Gupta.",7 Jun 2016
Arrium collapse investigation has begun,"A forensic investigation into Arrium's collapse is underway, reconstructing 
 events focussing on the six months prior to the company's April 7 
 administration ...",8 Jun 2016
Ancient asteroid impacts yield evidence for the nature of the early Earth,"This is because zircons are resistant to erosion but other minerals and 
 rock fragments ... ancient impact ejecta is the Pilbara Craton in Western 
 Australia.",12 Jun 2016
Mining downturn failing to hold back contracting company ...,"... Creek iron ore mine site in the Pilbara region of Western Australia. 
 ... According to research commissioned by the Minerals Council of 
 Australia, ...",12 Jun 2016
Top 5 Lithium Miners To Consider,"Year producing. 2016 - Orocobre, Mineral Resources, Galaxy Resources, 
 Neometals. 2017 - Should see Altura Mining and Pilbara Minerals (late 2017 
 or early 2018) ...",13 Jun 2016
"Northern Shield, South32 team up","Pilbara Minerals shares hit another record on first lithium sales. August 
 11, 2021. Pilbara Minerals shares hit another high on first lithium 
 sales ...",15 Jun 2016
Orocobre - Leading The Lithium Pure Play Miners In The Lithium Boom,"and Jiangxi Ganfeng Lithium Co Ltd. European Metals, Pilbara Minerals 
 (ASX:PLS), Altura Mining (OTC:ALTAF), Nemaska lithium [TSXV:NMX] (OTCQX: ...",17 Jun 2016
Sparton banks on vanadium,"... a couple of them are interested in only the battery business and a 
 couple of others are interested in the vanadium mining project to source 
 vanadium, ...",22 Jun 2016
Osisko Mining rides again,"A drill site at Osisko Mining's Windfall gold project in Quebec, 200 km 
 northeast of Val-d'Or. Credit: Osisko Mining. Posted By: Matthew Keevil 
 June 23, 2016.",23 Jun 2016
Refinery costs a threat to Kwinana,"Kwinana's future as an important centre of value-added mineral processing 
 is being threatened by a potential double closure of major projects – the 
 BHP ...",27 Jun 2016
Flinders eyes Tasman merger to tap emerging green economy,"“It's the new integrated model where we go beyond mining and work with the 
 ... while graphite market analyst Benchmark Minerals indicates that natural 
 flake ...",8 Jul 2016
"Lithium Extraction Techniques - A Look At The Latest Technologies And The 
 Companies Involved","Pilbara Minerals (ASX:PLS) has agreed to share equally in the operating 
 costs ... Simbol's geothermal extraction is really a lithium mining and 
 extraction ...",14 Jul 2016
The Winners of the 2016 Women In Industry awards,"The only awards program of its kind to encompass mining, manufacturing, 
 engineering and now both transport and logistics, it also encourages the 
 industrial ...",15 Jul 2016
BHP Billiton’s Iron Ore Production Shows No Signs of Slowing,"Global iron-ore mining companies have defended iron-ore production ... to 
 roll out across its train network in Australia's iron-rich Pilbara mining 
 region.",19 Jul 2016
News and views on the ground at Diggers & Dealers in Kalgoorlie,"Stay with us for the best of Australia's premier mining conference. ... 
 Pilbara Minerals MD and CEO Ken Brindsen has big plans for the Pilgangoora 
 project, ...",1 Aug 2016
Australia's tiny miners rise from the ashes of the bust,"Gold miners were like “rock stars”, Evolution Mining chairman Jake Klein 
 told ... Lithium miner Pilbara Minerals easily raised A$85 million ($64 
 million) in ...",2 Aug 2016
Australia's lithium miners find themselves in a sweet spot,"Another Western Australia project with a Chinese offtake partner, Pilbara 
 Minerals' Pilgangoora mine, is targeting production by 2018.",4 Aug 2016
Rio Tinto to invest $338 million on Pilbara iron ore mine ...,"Mining giant Rio Tinto says the Brownfields expansion of the high-grade 
 Silvergrass mine offers attractive returns, with an expected internal rate 
 of return ...",4 Aug 2016
Liontown Resources Ltd to acquire Kathleen Valley lithium rights,"Ramelius is presently conducting gold mining operations at the Kathleen 
 Valley Project, which are expected to conclude later this year. The project 
 contains a ...",4 Aug 2016
Rio Tinto contractor conundrum: The new normal in the Pilbara?,"“This decision by Rio Tinto to turn to contractors is worrying,” he told 
 Australian Mining. “People are scared, there is no security at all.”.",5 Aug 2016
Island drives Richmont through Q2,"Once mining at the Q zone starts, Beaufor's production should increase, and 
 lower costs in the fourth quarter, Adams adds. Quarterly revenue was $40.6 
 million, ...",9 Aug 2016
Comments on: Gold Standard strikes again at North Dark Star ...,"“This intercept lends to the strength of this mineral system, and we now 
 have the second-largest land package in the Carlin trend,” Awde said.",10 Aug 2016
Pilbara Minerals lights up lithium space,"Improving the maiden ore reserve at Pilbara Minerals' 100%-owned flagship 
 Pilgangoora lithium-tantalum project is almost a moot point.",15 Aug 2016
The facts and fiction of Australia’s lithium boom,"Last year they shed 11.6%, driven by the general slowdown in the mining 
 sector and the drop ... The share price of Pilbara Minerals is running at 
 54 cents, ...",26 Aug 2016
We May Have Found Earth's Oldest Fossils,"And the rocks contain carbonate minerals such as dolomite, which are also 
 common in ... a set of stromatolites from the Pilbara region of western 
 Australia.",31 Aug 2016
Woodie Woodie trial shows mine water a risk for irrigators,"A $4 million irrigated agriculture project in the East Pilbara has shown 
 ... Consolidated Minerals, to keep the pumps running at the Government's 
 cost so ...",1 Sep 2016
Ancient life in Greenland and the search for life on Mars,"... accepted examples are 3.49 billion years old, in the Pilbara region of 
 Western Australia. ... Dolomite is a mineral found in many ancient 
 stromatolites.",11 Sep 2016
Lithium Miner Altura Mining Is A Bargain,"Their flagship project is the Pilgangoora spodumene lithium project in the 
 Pilbara region of Western Australia, near to Plibara Mining (ASX:PLS). 
 Altura have ...",13 Sep 2016
The barf and the beautiful: beneath the red dust of mining in the Pilbara,"Roy Hill in the Pilbara. Credit:Brendan Foster. Mining in WA pours almost 
 $30 billion into the Australian ...",16 Sep 2016
"Blackham locks in near record prices for 1/3 of Matilda gold output for 
 next 18 months","Wiluna Mining Corporation, $154.7m. 32nd, ↑, BCI Minerals, $87.0m. 33rd, ↑, 
 Pilbara Minerals, $84.1m. 35th, ↑, Panoramic Resources, $80.2m.",22 Sep 2016
Mining firm fined $110k over WA worker death,"A company has been fined $110,000 over the death of a worker at a mine in 
 Western Australia's East Pilbara region. Heavy duty mechanic Philip 
 Kitching was ...",30 Sep 2016
Aldridge Announces Results of Annual Shareholders Meeting,"TORONTO--(BUSINESS WIRE)--Aldridge Minerals Inc. (TSX-V: AGM) (“Aldridge” 
 or the “Company”) is pleased to announce the results of its 2016 Annual 
 and ...",2 Oct 2016
Swaraj Engines appoints Subhash Mago as CEO,"CATL has already made several investments in miners producing battery 
 metals, taking small stakes in lithium producers Pilbara Minerals and Neo 
 Lithium Corp ...",3 Oct 2016
US coal legend Ernie Thrasher close to bagging Anglo mines ...,"... month began a review into elevated levels of airborne dust at BHP's 
 Whaleback and Newman mines in the Pilbara. ... Australia's Star Minerals 
 nearing IPO.",4 Oct 2016
COMMENT: China is key for LMEshield to gain traction,"AT A GLANCE: Pilbara Minerals FY Ebitda positive; spodumene production, 
 shipments surge on better demand. Aug 26, 2021 @ 08:37.",11 Oct 2016
A good eye for music,"Centaurus Metals Limited (ASX: CTM) is an Australian-based minerals 
 exploration company, ... De Grey Mining (ASX:DEG) advancing Pilbara Gold 
 Project.",17 Oct 2016
Iron ore price explodes higher - MINING.COM,"Number two producer Rio Tinto also cut its outlook for this year's shipment 
 by as much as 5 million tonnes, hampered by logistics bottlenecks at its 
 Pilbara ...",25 Oct 2016
Kairos Minerals continues to advance Western Australia projects,"The maiden drilling program at the Mt York Gold-Lithium Project in the 
 Pilbara region of Western Australia commenced in late September. Phase 1 of 
 the current ...",28 Oct 2016
Pilbara Minerals swoop on Roy Hill camp for Pilgangoora Lithium project,"Pilbara Minerals have snapped up Roy Hill's Rail Camp 3, just 90kms down 
 the road from the soon-to-be developed Pilgangoora Lithium project near 
 Port ...",31 Oct 2016
LME WEEK 2016: China is the most efficient aluminium ...,"AT A GLANCE: Pilbara Minerals' EBITDA positive in FY2021; spodumene 
 production, shipments surge on better demand. Aug 26, 2021 @ 08:37.",31 Oct 2016
Altura buys Roy Hill mine camp,"Altura Mining has followed the example of neighbouring lithium project 
 developer, Pilbara Minerals, by purchasing a mothballed mine camp from Roy 
 Hill ...",2 Nov 2016
"Macarthur Minerals Secures Most of the Playa at Its Stonewall Lithium 
 Project in the Basin Adjacent to Clayton Valley, Nevada, Which has Returned 
 Results of 145.5 ppm","Macarthur Minerals Limited (TSX VENTURE: MMS) (the ""Company"" or ""Macarthur 
 Minerals"") is pleased to announce that it has completed staking an 
 additional 360 ...",4 Nov 2016
BHP warns of no replacement mine for Yandi if WA Nationals ...,"BHP's Minerals Australia president Mike Henry says thousands of jobs in the 
 iron ... near Newman in the Pilbara region, if the proposed tax was to go 
 ahead.",9 Nov 2016
Canada's Kirkland Lake soars after Gold Fields confirms $1.4 ...,"With its high-grade production and reserves located in a safe, 
 mining-friendly jurisdiction, the firm's appeal has been strengthened by a 
 scarcity of growth ...",14 Nov 2016
Rio Tinto’s to shut iron ore mine over Christmas,"The two-week closure of the Hope Downs 4 mine in the Pilbara — the world's 
 ... BHP and Rio are supporting a campaign launched by the Minerals Council 
 of ...",15 Nov 2016
UO study finds Earth's soils hosted life early on,"Other mineral and chemical tracers found in the rocks also required 
 weathering in ... The ancient soils from Australia's Pilbara region, 
 Retallack said, ...",17 Nov 2016
Rio to idle Hope Downs 4 over Christmas - MINING.COM,"Employees can either take leave or work shifts at other mines. Hope Downs 4 
 in the Australian Pilbara is one of the largest iron ore mines in the 
 country. Rio ...",20 Nov 2016
Life on Earth's soils began earlier than thought,"However, a closer look at the dusty salt minerals of the rocks suggests 
 they ... salts and microfossils come from the Pilbara region of Western 
 Australia.",21 Nov 2016
Solomon gets green light for 3-fold expansion - MINING.COM,"Six hectares that would be bulldozed for mining purposes is currently 
 habitat for two endangered species – the northern quoll and Pilbara 
 leaf-nosed bat ...",23 Nov 2016
Pilbara Minerals Ltd breaks first ground at Pilgangoora,"Pilbara Minerals Ltd (ASX:PLS) has commenced site development activities at 
 its flagship 100% owned Pilgangoora lithium-tantalum project in the 
 Pilbara ...",24 Nov 2016
Rio Tinto unveils a higher vision after scandals,"Last week, Rio sacked its minerals and energy chief Alan Davies and legal 
 and ... where problems are capping the company's Pilbara iron ore capacity 
 at ...",24 Nov 2016
Which Of The Major Copper Miners Should I Buy,"It is hoped the mining CEOs have learned some lessons about oversupplying 
 the ... ore production and prices from its Pilbara mines in Western 
 Australia.",26 Nov 2016
BuzzConf 2016: gaming and tech meets bush doof in country Victoria,"A Pilbara mining worker fixes machinery with remote visual instructions 
 from ... one single asteroid could provide humanity with a wealth of rare 
 minerals.",30 Nov 2016
Pilbara Minerals completes acquisition of Lynas Find lithium project,"Pilbara Minerals (ASX:PLS) has completed the acquisition of the Lynas Find 
 Lithium Project, which directly adjoins its flagship Pilgangoora 
 Lithium-Tantalum ...",1 Dec 2016
Big Mac inventor dies at age 98,"More From Business News. Obeid 'far from death's door', judge told · 
 Pilbara Minerals buys Lynas Find project. Most Read ...",1 Dec 2016
From boom to bust in Western Australia,"The investment phase of one of the biggest mining booms in world history 
 continues to wind down. ... The Pilbara has been especially hard hit.",5 Dec 2016
Tax transparency: which companies paid the most and least ...,"OZ MINERALS LIMITED, 878,864,216, 0, 0.0, 0, 0.0 ... YARA PILBARA 
 FERTILISERS PTY LTD, 375,158,366, 135,867,563, 36.2, 40,760,269, 30.0.",8 Dec 2016
Brendon Grylls fights for political survival as mining lobby attacks,"""There's two things happening in Pilbara. I think there is some 
 disenchantment over the proposed mining tax. And there is also a really 
 concerted campaign ...",13 Dec 2016
"Factbox: New mines, expansions in lithium","PILBARA MINERALS PLS. ... is in an early stage of development, but the 
 company says it could supply more than 10 percent of global demand for the 
 mineral.",14 Dec 2016
De Grey Mining continues to find more gold at Turner River,"The project is situated 50 kilometres south of Port Hedland in Pilbara, 
 Western Australia. Significant zones of shallow oxide mineralisation, with 
 some high ...",16 Dec 2016
Why Iluka Resources' lucrative iron ore royalty is back in the ...,"For the uninitiated, the mineral sands producer's business can be ... to 
 its Mining Area C (MAC) iron ore project in Western Australia's Pilbara 
 region.",19 Dec 2016
BSGR boss Beny Steinmetz arrested in Israel over Guinea ...,"BSGR claims Rio Tinto contributed to the loss of its mining rights in 
 Simandou and ... iron ore fields outside of Australia's Pilbara region and 
 Brazil.",19 Dec 2016
"Sayona Mining Ltd (ASX:SYA) Option To Acquire New Pilbara Spodumene 
 Discovery","The Mallina project is located 80 kilometres west of the Pilgangoora 
 lithium deposits of Altura Mining and Pilbara Minerals, and compliments the 
 Company's ...",21 Dec 2016
"Australia's Fortescue beats competitors to secure exploration leases: 
 documents","SYDNEY (Reuters) - Fortescue Metals Group secured 42 mining and ... 4 iron 
 ore miner, secured the exploration ground in the minerals-rich Pilbara by 
 paying ...",21 Dec 2016
What Are Biofilms?,"Biofilms have been found growing on minerals and metals. ... in the 3.2 
 billion-year-old deep-sea hydrothermal rocks of the Pilbara Craton in 
 Australia.",21 Dec 2016
"Sona BLW opens third manufacturing facility in India; plant to create 300 
 new jobs","Pilbara Minerals sees solid output as lithium demand intensifies. Rising 
 demand for electric vehicles (EV) from China is leading a rebound in 
 lithium prices ...",22 Dec 2016
Golden Grove mine sold for $US210m,"The sale of the mine is subject to conditions. Founded in 2011 by Jason 
 Chang and Owen Hegarty, EMR Capital is a specialist mining private equity 
 manager ...",29 Dec 2016
Galaxy Resources waves off first lithium shipment from Mt ...,"Ken Brinsden's Pilbara Minerals is considered the next cab off the rank for 
 WA lithium producers with its Pilgangoora mine. Mr Tse predicted current 
 global ...",2 Jan 2017
Neo Lithium Corp. Has Great Potential,"I would say Altura Mining and Pilbara Minerals will be the next to make it 
 to production, followed perhaps by Nemaska, CRE, and LAC. Then LIX. You can 
 read my ...",4 Jan 2017
Sayona Mining commences exploration at Pilbara lithium project,"Mallina is located 80 kilometres west of the Pilgangoora lithium deposits 
 of Altura Mining (ASX:AJM) and Pilbara Minerals (ASX:PLS), and compliments 
 the ...",10 Jan 2017
Kalium Lakes begins work at potash project in Pilbara,"ECR Minerals PLC (AIM:ECR, FRA:IZGH)'s Craig Brown gives Proactive an 
 update on its current aggressive drill programs in Victoria across its 
 flagship Bailieston ...",17 Jan 2017
Court battle likely for control of rich lithium find,"The Pilbara also has two mines under construction with Altura Minerals and 
 Pilbara Minerals racing to get into production, with the latter awarding a 
 $138 ...",19 Jan 2017
Why Asteroid Mining Is Closer Than You Think,"At one point, the interviewer asked if these technologies would come to 
 commercial fruition during our lifetimes. “Even asteroid mining?” he said 
 with a chuckle ...",21 Jan 2017
New $5B iron ore mine in the works for WA - MINING.COM,"WA Premier Colin Barnett said the Balla Balla Infrastructure Group would 
 build the six to 10 million-tonnes-a-year iron ore mine on the Pilbara 
 coast ...",22 Jan 2017
Trump could prompt more activity in gold sector,"... at the erstwhile Ashanti Goldfields, run London-listed Condor Gold Plc 
 as chief executive, and served on the boards of Burey Gold and Samba 
 Minerals.",23 Jan 2017
Brendon Grylls wants subsidy for billion-dollar Balla Balla iron ...,"... billion Balla Balla iron ore project in the Pilbara should be entitled 
 to ... The Chamber of Minerals and Energy, WA's peak mining body, has 
 strongly ...",24 Jan 2017
"FMG, Cokal mourn Lynch","FMG CEO Nev Power said the company was saddened by the news. “At Fortescue, 
 Peter managed the development of Fortescue's core iron ore assets in the 
 Pilbara ...",27 Jan 2017
UQ receives $1.2m for resources sector projects,"Iron ore. Latest News. Historic mining agreement for QLD's Barada Barna 
 people · Pilbara Ports saves time and money for mining region · IMARC ...",31 Jan 2017
Former Atlas boss joins Australian Vanadium’s board,"He is still a non-executive director of that company. He is also a former 
 vice president and head of vanadium assets at London-based, Russia-focused 
 mining and ...",31 Jan 2017
Lithium mines to grow sevenfold as Chinese investment ...,"The state's claim to being the world's lithium mining capital were enhanced 
 on ... Ken Brinsden's Pilbara Minerals appears to be slightly more 
 advanced, ...",7 Feb 2017
Mining industry spends $2 million fighting Brendon Grylls' tax,"... million on a media campaign fighting the WA Nationals proposed new 
 mining tax and which could lead to its leader Brendon Grylls losing his 
 Pilbara seat.",8 Feb 2017
Rio Tinto logs first annual gain since 2013 on iron ore rally ...,"... year (Image of the Paraburdoo operation, in the Pilbara, courtesy of 
 Rio Tinto) ... Belterra clay has been found to have enough minerals with 
 aluminum ...",8 Feb 2017
"CSIRO errors put 30,000-year-old indigenous rock art at risk","Yara Pilbara, which operates the ammonia fertiliser plant at the Burrup, 
 ... ""If anything, the reverse is true, as more rapid weathering of minerals 
 in the ...",10 Feb 2017
Up close with Howard Porter's 33-axle Superquad,"The new goliath will be hard to miss in Western Australia's Pilbara region. 
 ... Process Minerals International (PMI) employ the 'Superquad Program'.",10 Feb 2017
"BusinessNow: Live coverage of financial markets and companies, plus 
 analysis and opinion","The $976.1 million takeover bid for mining services group Bradken (BKN) has 
 ... Chorus, Inghams, Pilbara Minerals and RCG Corp as potential inclusions.",13 Feb 2017
Mining chief found dead in apartment,"A WA mining executive who was once sued by former Federal MP Clive Palmer 
 for tens ... it claims it is owed from CITIC's Sino Iron project in the 
 Pilbara.",17 Feb 2017
Plant profile: Geranium Rozanne,"Use a slow-release fertiliser such as Grow Safe that has all the minerals 
 to supplement the long flowering period. The great thing about this 
 geranium is ...",20 Feb 2017
Montezuma Mining Company confirms lithium potential at Lake Johnston,"Montezuma Mining Company confirms lithium potential at Lake Johnston. A 
 number of priority lithium targets have been identified with follow-up work 
 planned. WA- ...",22 Feb 2017
Billionaire New Zealand family breathes new life into proposed Sisson mine,"Todd Minerals Ltd. already owns part of a tungsten mine in the United 
 Kingdom ... Australia by proposing to build a $5-billion iron ore mine near 
 Pilbara.",27 Feb 2017
The Northern Miner podcast – episode 49: PDAC primer and ...,"Pilbara Minerals shares hit another record on first lithium sales. August 
 11, 2021. Pilbara Minerals shares hit another high on first lithium 
 sales ...",28 Feb 2017
Earth's first continent? Probably a giant continental crust,"The Pilbara formation contains both granites and basalts. ... serves as a 
 proxy of depth—and the trace minerals present in the resulting granite.",28 Feb 2017
Pilbara Minerals’ pilot plant outperforms by 23%,"Pilbara Minerals are set to reduce costs and increase reserves at their 
 giant Pilgangoora Lithium project after pilot testing of a key processing 
 step ...",1 Mar 2017
Human Activity On Earth Triggered A New Age Of Minerals,"The evolution of higher lifeforms and plants and new chemical reactions 
 added further minerals over the next millions of years. Tiger Iron ...",2 Mar 2017
Walsh’s $1.6m bonus on hold amid Rio probe,"Former Rio Tinto boss Sam Walsh has agreed to a two-year delay in final 
 bonus payments from his time at the global mining giant, as global 
 authorities ...",2 Mar 2017
Back When the Planet Had Just One Plate,"... Michael Brown and colleagues describe efforts to model how different 
 mineral combinations react at specific combinations of temperature and 
 pressure.",3 Mar 2017
WA election: five things you need to know,"She plans to include the Pilbara, home of the lower-house seat of the ... 
 Access Economics report commissioned by the Minerals Council of 
 Australia, ...",5 Mar 2017
Sabrina’s autumn gardening guide,"This is a great time to get manure, minerals and compost into vegie beds, 
 as the soil is still warm and worms are active. Apply some No Frills Rock 
 Dust ...",6 Mar 2017
Lithium enjoys the Tesla effect,"... since 2014 according to an index by Benchmark Mineral Intelligence, ... 
 Australia's Galaxy Resources and Pilbara Minerals have gained about 390 per 
 cent ...",9 Mar 2017
WA Nationals leader digs in on mining tax as BHP Billiton steps up attack,"“As for the rest of the voters in Western Australia, if the Pilbara 
 communities think that it would be fair to charge an updated rental to BHP 
 and Rio Tinto, ...",9 Mar 2017
Hampton wins work at Empire gold mine,"Today, Empire said it was finalising commercial terms and conditions for 
 the mining contract to allow full-scale mining at Penny's Find to begin 
 shortly. Empire ...",9 Mar 2017
Labor wins WA in a landslide as One Nation fails to land a blow,"The other is that the WA Chamber of Minerals and Energy spent around $2 
 million ... the count will continue in the mining seats of Pilbara and 
 Kalgoorlie, ...",11 Mar 2017
WA election: Nationals leader Brendon Grylls loses seat of ...,"... leader Brendon Grylls loses seat of Pilbara after mining tax row ... 
 The Chamber of Minerals and Energy of WA (CME) said it acknowledged ""the 
 hard work ...",13 Mar 2017
Which Labor faction will control Western Australia?,"In Pilbara, the former seat of soon-to-be former WA Nationals leader 
 Brendon Grylls, the WA Chamber of Minerals and Energy threw $2 million into 
 a campaign ...",14 Mar 2017
Low-carbon ferro-chrome prices in Europe enjoy upswing as ...,"AT A GLANCE: Pilbara Minerals FY Ebitda positive; spodumene production, 
 shipments surge on better demand. Aug 26, 2021 @ 08:37.",15 Mar 2017
WA election: Brendon Grylls and the Nationals' mining tax ...,"After eight years, $6.9 billion and 3,700 projects, it stands as the former 
 Pilbara MP's crowning achievement as WA Nationals leader. But with his 
 Liberal ...",18 Mar 2017
