Title,Content,Date
RESEARCH: Tighter trade policy likely to raise global floor for ...,"Stainless steel is looking expensive at the moment, and the high margins 
 being enjoyed by ... Click here to view the Stainless Steels tracker in 
 full.",31 May 2021
Can the Bengals really win more games than the Steelers in ...,"Call the Steel City Underground Fan Line and have your question played on 
 our podcast! The best questions will be answered in a future episode.",31 May 2021
How 5G Will Revolutionize Manufacturing,"Valin Xiangtan Iron & Steel, a factory in China's Hunan Province, has used 
 5G and cloud computing to enable remote-controlled bridge cranes.",31 May 2021
What is the GFG Alliance and what does it own?,"GFG's steel business in the UK ranges from the 150-year-old Dalzell plant 
 in Motherwell, to a rolled steel plant in Newport, South Wales, which took 
 Mr ...",30 May 2021
"UPDATE 1-Vietnam steel maker Hoa Phat acquires Australia's Roper Valley 
 iron ore mine","HANOI, May 31 (Reuters) - Vietnam's steel maker Hoa Phat said on Monday it 
 has acquired the Roper Valley iron ore mine project in Australia, ...",30 May 2021
Explosion at Evraz Rocky Mountain Steel Mill in Pueblo ...,"Asst. Chief Miller says dispatch initially told fire crews the fire was at 
 the steel mill — on arrival they discovered it was an electric arc furnace 
 inside ...",29 May 2021
2022 Chevy Camaro Production Dates Delayed To September,"2020-chevrolet-camaro-ss-coupe-shock-and-steel- · 
 2020-chevrolet-camaro-lt-convertible-shock-and-steel- · 
 2020-chevrolet-camaro-ss-coupe-shock-and-steel-.",29 May 2021
China's reining in of steel exports having little impact on global ...,"However, experts say that while the restrictions will dampen the business 
 of Chinese steel exporters, it is unlikely to ripple across the 
 international market ...",28 May 2021
Ann Joo posts RM73.6mil profit in Q1 amid rising steel prices,"7mil previously. The steel manufacturing and trading company attributed the 
 improved results to higher profit margin given the rising selling price, 
 which ...",28 May 2021
TCS Named as a Best Big Company to Work for in the UK,"Hisar: India's leading stainless steel producer, Jindal Stainless (Hisar) 
 Limited (JSHL) has been awarded the Energy and Environment Foundation 
 Global ...",28 May 2021
Steel traders lick wounds as Chinese govt swiftly strikes down ...,"China's steel prices have experienced a roller coaster ride since May 1. 
 Prices for steel products rose by more than 1,600 yuan ($250) per ton in a 
 span of ...",27 May 2021
American Steel Still Not Clean Enough Say Industry's Top ...,"The banks financing the American steel industry have a message: You're not 
 very green, but we're here to help. While U.S. steelmakers have been quick 
 to ...",27 May 2021
Atlas Holdings Completes Sale of Banker Steel,"(“DBM Global”), a family of companies providing fully integrated structural 
 and steel construction services. DBM Global is an operating subsidiary of 
 HC2 ...",27 May 2021
Why Man of Steel & Snyder's DCEU Didn't Connect With The Dark Knight,"Since Man of Steel's start, Nolan was vocal about his Batman films never 
 fitting the new universe that Snyder created for Warner Bros. The emphasis 
 of The Dark ...",27 May 2021
"Tesla Armor Glass patent reveals ‘bulletproof’ secret to Cybertruck 
 durability","Elon Musk stated that Franz's initial sledgehammer hits damaged the base of 
 the glass, weakening them to the point that the steel balls were able to 
 easily ...",27 May 2021
Teen Titans Go!' Meets 'Space Jam' In New Crossover Special,"Shaquille O'Neal stars in this earnest but very silly adventure film based 
 on the Superman supporting character who briefly replaced the Man of Steel 
 in DC ...",27 May 2021
Green steel projects need swifter authorisation: Hybrit,"Green steel company Hybrit, a joint project of Sweden's SSAB, LKAB and 
 Vattenfall, has urged the country's government to foster swifter 
 authorisation for ...",26 May 2021
Why Credit Suisse is no longer positive on steel,"The brokerage firm notes that after a 59% outperformance in 2021, there are 
 multiple risks to Steel prices going ahead. · Key Highlights.",26 May 2021
China's steel sector returning to normal,"Chinese steel-related companies are adjusting their businesses as prices 
 return to normal, after a government crackdown on speculation in the market 
 for ...",25 May 2021
"Superman & Lois Episode 7: Inside the ""Man of Steel"" Ending ...","We go behind the scenes of Superman & Lois episode 7, ""Man of Steel"" to 
 explore the implications of its ending for the series and the DC TV 
 universe. By Mike ...",25 May 2021
Liberty Steel plans to sell Yorkshire plant to stay afloat,"The talks with Credit Suisse include a plan to sell its aerospace and 
 special alloys steel business in Stocksbridge, South Yorkshire, plus an 
 associated ...",24 May 2021
Canada's Algoma Steel to go public via merger with blank-check firm Legato,"(Reuters) - Canadian steelmaker Algoma Steel is becoming a publicly listed 
 company through a merger agreed with New York-based blank-check firm 
 Legato ...",24 May 2021
US steel lobby mobilises to preserve Donald Trump's tariffs,"Steel mills in the US have prospered in the past year as commodity prices 
 have surged and the industry consolidates. Another factor in their favour 
 is the ...",24 May 2021
Mercedes-Benz to use green steel in vehicles in 2025 ...,"Mercedes-Benz AG is the first car manufacturer to take an equity stake in 
 Swedish start-up H2 Green Steel (H2GS) as a way to introduce CO2 free steel 
 into ...",24 May 2021
Tata Steel to pay salary to families of employees who succumbed to COVID-19,"In a statement issued on May 23, the Jamshedpur-based steel manufacturer 
 explained that the firm will continue to pay these salaries till the 
 retirement age of ...",23 May 2021
"Years late and billions more: The USS Gerald R. Ford is a lesson in how the 
 Navy builds ships","But the planning and design work wasn't done, two years after the yard 
 began cutting steel for the ship. The Navy's first cost estimates for the 
 Ford pegged ...",23 May 2021
"Bed Bath & Beyond now has an affordable line of hotel-quality home 
 essentials, starting at just $1","Simply Essential 3-Piece Stainless Steel Whisks Set. Simply Essential 
 3-Piece Stainless Steel Whisks Set (Photo: Bed Bath & Beyond).",22 May 2021
India's JSW Steel examining bid for Gupta's British business ...,"Tycoon Sanjeev Gupta scrambles to refinance global empire · JSW, controlled 
 by billionaire Sajjan Jindal, eyes UK arm · Steel sale politically 
 sensitive in ...",21 May 2021
"To Cap Emissions by 2030, China Must Rein In Steel","As steel tends to follow housing demand, Beijing has to find a better way 
 to shift the economy away from housing and construction. China's iron and 
 steel sector ...",21 May 2021
